time,Xrefc,Yrefc,Xrobotc,Yrobotc,ISExc,ISEyc
7.5,0.074531531,0.101517309,0.075426442,0.10197345,1.22E-05,8.29E-06
7.6,0.072658972,0.101605042,0.074022547,0.101262067,1.24E-05,8.29E-06
7.7,0.070751347,0.101597891,0.072435889,0.101556269,1.25E-05,8.29E-06
7.8,0.068811932,0.101495026,0.069978331,0.101807195,1.27E-05,8.30E-06
7.9,0.066844038,0.10129574,0.067626796,0.101192856,1.29E-05,8.30E-06
8,0.064851006,0.100999457,0.066281271,0.101663829,1.31E-05,8.31E-06
8.1,0.062836199,0.100605729,0.064288946,0.101437994,1.33E-05,8.33E-06
8.2,0.060803004,0.100114239,0.061711471,0.100963533,1.35E-05,8.35E-06
8.3,0.058754819,0.0995248,0.060179445,0.100131052,1.37E-05,8.37E-06
8.4,0.056695055,0.098837357,0.058997553,0.099336432,1.40E-05,8.40E-06
8.5,0.054627125,0.098051983,0.056658545,0.098919306,1.42E-05,8.44E-06
8.6,0.052554446,0.097168887,0.054711931,0.097542822,1.44E-05,8.48E-06
8.7,0.050480427,0.096188406,0.051876758,0.097007035,1.47E-05,8.53E-06
8.8,0.04840847,0.095111009,0.04955029,0.095853675,1.49E-05,8.59E-06
8.9,0.046341962,0.093937294,0.047443235,0.094729703,1.51E-05,8.65E-06
9,0.04428427,0.092667991,0.046534048,0.093703578,1.54E-05,8.73E-06
9.1,0.042238737,0.091303955,0.044534564,0.091839264,1.56E-05,8.81E-06
9.2,0.04020868,0.089846173,0.041296336,0.090460554,1.59E-05,8.90E-06
9.3,0.038197379,0.088295756,0.039162408,0.089731053,1.61E-05,9.01E-06
9.4,0.036208078,0.086653939,0.0384857,0.087454065,1.63E-05,9.12E-06
9.5,0.034243978,0.084922082,0.035303732,0.085800001,1.65E-05,9.25E-06
9.6,0.03230823,0.083101667,0.03318811,0.083907038,1.68E-05,9.38E-06
9.7,0.030403938,0.081194295,0.031328602,0.082164731,1.70E-05,9.53E-06
9.8,0.028534147,0.079201684,0.030422901,0.080956356,1.72E-05,9.69E-06
9.9,0.02670184,0.077125668,0.028437607,0.07825342,1.74E-05,9.87E-06
10,0.024909938,0.074968194,0.026719484,0.076595608,1.76E-05,1.01E-05
10.1,0.023161291,0.072731318,0.025118122,0.074085404,1.77E-05,1.03E-05
